"ID","PRIMARY_COMMODITY","Mineral","LONGITUDE","LATITUDE","resources"
24463,"Copper","Copper",-110.06357,32.09938,0.388533
24468,"Copper","Copper",-109.90408,31.44038,1.270058
24469,"Copper","Copper",-110.897,33.393,1.950446
24470,"Copper","Copper",-110.95556,33.41056,4.357
24471,"Copper","Copper",-110.7417,33.0589,1.360776
24473,"Copper","Copper",-109.35895,33.10015,38.095378
24503,"Copper","Copper",-111.14432,31.8724,8.119297
24505,"Copper","Copper",-111.06355,31.98801,0.758
24509,"Copper","Copper",-110.99653,33.18362,2.1978
24510,"Copper","Copper",-111.42972,33.04694,1.276861
24512,"Copper","Copper",-111.05817,33.296,28.199
24514,"Copper","Copper",-111.87069,32.90281,6.436
24518,"Copper","Copper",-113.2078,34.58333,13.113345
24519,"Copper","Copper",-112.63364,34.30709,0.448149
24673,"Copper","Copper",-112.48,46.01083,1.346
24697,"Copper","Copper",-119.03995,38.93485,3.327551
24732,"Copper","Copper",-108.36799,32.64262,3.738959
24733,"Copper","Copper",-108.06667,32.79167,7.188072
24783,"Copper","Copper",-112.145,40.52056,3.986
24814,"Other","Copper",-105.18417,41.14414,0.187333
24857,"Copper","Copper",-119.26274,38.98007,7.07
24880,"Copper","Copper",-111.50413,32.39579,0.1634
24881,"Other","Copper",-110.72771,31.4656,0.1975
24883,"Copper","Copper",-109.53389,32.88139,0.453592
24897,"Copper","Copper",-110.86644,33.39884,0.781993
24898,"Copper","Copper",-110.74459,32.47394,0.38
24909,"Copper","Copper",-107.53176,32.96851,0.689109
24927,"Copper","Copper",-91.87293,47.64812,12.1537
25014,"Copper","Copper",-120.7982,40.22814,1.328104
25491,"Copper","Copper",-89.53172,46.77332,2.576403
25493,"Other","Copper",-91.07697,37.75596,0.118
25613,"Other","Copper",116.40127,-32.618,0.8035
25622,"Copper","Copper",118.6229,-25.35998,0.13805
25635,"Copper","Copper",136.88889,-30.44,85.372
25655,"Other","Copper",144.40218,-17.11797,0.2252
25678,"Other","Copper",40.85705,23.50095,0.144505
25685,"Copper","Copper",116.94389,-28.74457,0.916
25687,"Copper","Copper",-7.96722,37.57241,2.023
25698,"Copper","Copper",40.94042,23.85226,0.7516
25700,"Copper","Copper",-70.24215,18.8779,0.8004
25706,"Other","Copper",-112.79889,65.63056,0.33
25715,"Copper","Copper",141.13257,-5.13828,3.544
25720,"Copper","Copper",-101.87414,54.78004,0.14504
25734,"Other","Copper",35.39292,18.69485,1.3535
25740,"Copper","Copper",-128.38736,58.20996,0.498951
25742,"Copper","Copper",-121.02472,49.16361,0.175
25754,"Copper","Copper",40.76716,41.03959,0.142791
25761,"Copper","Copper",-50.53919,-5.78996,10.569
25765,"Copper","Copper",145.131,-5.741,3.056
25848,"Other","Copper",-108.36306,65.91667,0.356
25867,"Copper","Copper",-126.13534,56.50443,0.503487
25929,"Other","Copper",-66.43167,47.52528,0.117299
25992,"Copper","Copper",-138.83333,62.73333,4.861871
26001,"Other","Copper",-86.478165,48.864535,0.562454
26096,"Copper","Copper",-137.24754,62.61633,0.399433
26105,"Copper","Copper",-120.53599,49.33884,2.0415
26200,"Copper","Copper",-74.86517,49.78498,0.807393
26209,"Other","Copper",-123.62417,51.46389,2.472076
26218,"Copper","Copper",-126.23028,55.00278,1.65
26219,"Copper","Copper",-65.5217,48.97051,4.21523
26245,"Copper","Copper",-110.91179,46.77187,1.008
26249,"Copper","Copper",-99.63722,56.475,0.230878
26257,"Other","Copper",-104.30411,24.52951,0.209677
26271,"Copper","Copper",-130.99356,57.37026,3.93
26275,"Nickel","Copper",-139.53333,61.46667,0.740171
26312,"Copper","Copper",-119.19429,38.98071,1.620412
26362,"Copper","Copper",147.45,-34.31667,0.728
26391,"Copper","Copper",151.27611,-24.67389,0.14739
26419,"Other","Copper",122.22,-21.72306,0.387
26490,"Copper","Copper",-69.07048,-24.23123,139.518
26539,"Other","Copper",-58.20438,-15.34425,0.205935
26568,"Copper","Copper",137.11361,-4.05667,36.151283
26573,"Copper","Copper",118.49099,56.5968,26.7
26574,"Other","Copper",-76.05238,-11.74552,0.1158
26575,"Copper","Copper",-121.04722,50.48556,3.0933
26577,"Copper","Copper",-122.28341,52.51639,2.628112
26653,"Copper","Copper",-70.70908,-17.04104,11.391011
26654,"Copper","Copper",-70.61354,-17.24621,15.726579
26665,"Copper","Copper",-4.33889,53.38799,0.15789
26668,"Copper","Copper",26.42934,-12.09539,7.627
26669,"Copper","Copper",30.00306,0.205,0.1204
26670,"Copper","Copper",155.49371,-6.32923,5.3
26672,"Copper","Copper",-110.33208,30.96187,49.46194
26696,"Copper","Copper",-70.35495,-34.0899,39.3
26697,"Copper","Copper",-68.89801,-22.28343,16.6
26702,"Copper","Copper",147.88194,-37.00667,0.315
26711,"Other","Copper",-76.26869,-10.74886,1.674776
26722,"Copper","Copper",-71.1109,-32.6507,1.355
26723,"Copper","Copper",-70.28056,-33.14972,23.5885
26771,"Other","Copper",145.87596,-31.5639,0.58136
26805,"Copper","Copper",-110.75844,31.83441,5.89216
26806,"Copper","Copper",145.58199,-42.06388,0.882236
26908,"Copper","Copper",123.701254,10.32501,1.197
26914,"Copper","Copper",-134.43958,64.01187,0.156
26927,"Other","Copper",-69.98827,-29.32967,0.370494
26942,"Other","Copper",-120.51361,50.66056,0.785621
26944,"Copper","Copper",22.29587,-29.95431,0.378
26947,"Copper","Copper",-124.64925,50.04154,0.26908
26968,"Copper","Copper",-71.20334,-30.71837,0.1108
26984,"Copper","Copper",-124.03111,55.11806,1.082724
27019,"Copper","Copper",-68.802032,-20.975159,36.3524
27024,"Other","Copper",-117.2976,38.32154,0.602216
27030,"Copper","Copper",80.71594,22.02235,2.81
27033,"Copper","Copper",17.71065,-19.7101,0.306403
27034,"Copper","Copper",67.38389,47.83639,8.013337
27051,"Copper","Copper",137.59608,-34.02121,0.114
27055,"Copper","Copper",-71.60556,-16.52667,24.326139
27058,"Copper","Copper",42.24958,20.11265,0.11
27065,"Copper","Copper",126.32466,-7.70694,0.3547
27069,"Copper","Copper",20.10854,67.8634,1.0014
27083,"Copper","Copper",-126.62,62.69417,1.30928
27104,"Other","Copper",149.57194,-35.06389,0.2002
27115,"Copper","Copper",-77.06248,-9.53663,19.537
27131,"Copper","Copper",-70.49279,-31.71883,28.9
27136,"Nickel","Copper",102.14801,38.49053,3.427
27140,"Copper","Copper",-102.89498,54.65977,0.574702
27143,"Copper","Copper",-90.384295,51.493695,0.59
27144,"Copper","Copper",-127.85639,50.67556,1.668311
27145,"Other","Copper",-81.36667,48.68306,0.377
27146,"Nickel","Copper",-81.36921,46.63706,1.78
27160,"Other","Copper",32.48932,-3.22944,0.17381
27163,"Copper","Copper",139.3632,-19.6949,1.178
27165,"Copper","Copper",148.03306,-32.91,2.452
27166,"Other","Copper",20.36003,64.87148,0.19176
27169,"Nickel","Copper",88.16999,69.28199,31.51
27173,"Copper","Copper",125.97222,7.19167,2.888
27200,"Copper","Copper",17.8104,-29.55074,0.2103
27241,"Copper","Copper",-78.32103,-7.03663,9.777085
27242,"Other","Copper",-70.559,-15.65724,0.378976
27243,"Copper","Copper",139.47806,-20.72167,2.376
27244,"Copper","Copper",-70.288609,-27.515542,8.757
27249,"Copper","Copper",75.81472,28.07763,1.0085
27259,"Other","Copper",-130.33556,56.46666,26.35687
27271,"Other","Copper",-130.16839,56.59346,1.531009
27280,"Copper","Copper",-109.67333,32.96167,19.856443
27283,"Copper","Copper",-68.71781,-20.9669,81
27286,"Other","Copper",18.79971,-29.26053,0.36
27290,"Copper","Copper",-71.9655,19.59347,0.8485
27291,"Copper","Copper",20.9525,67.07611,4.441
27337,"Copper","Copper",-130.25108,57.63654,0.664331
27342,"Copper","Copper",-109.55788,30.31865,15.097357
27345,"Copper","Copper",-74.37179,-12.59139,0.32
27346,"Other","Copper",-76.27574,-10.6957,0.1716
27352,"Copper","Copper",-109.1301,38.12872,0.3571
27378,"Nickel","Copper",30.73034,69.39995,1.574
27385,"Copper","Copper",117.72443,29.0142,4.213
27390,"Copper","Copper",-69.06778,-24.21861,4.096
27449,"Copper","Copper",-136.70166,62.33892,0.312565
27467,"Copper","Copper",116.95789,30.57171,0.262
27470,"Copper","Copper",-74.67023,49.86103,0.1452
27475,"Copper","Copper",127.53889,-18.32167,0.1218
27485,"Copper","Copper",102.82291,3.77109,0.1625
27495,"Copper","Copper",104.13085,49.02198,3.95
27497,"Copper","Copper",130.99641,-12.99191,0.337572
27508,"Copper","Copper",-71.32222,-14.89806,4.08
27523,"Copper","Copper",-68.88333,-22.22722,27
27525,"Copper","Copper",-70.25968,-33.15453,36.5
27530,"Copper","Copper",-71.10057,-30.23507,1.9305
27543,"Copper","Copper",22.10442,44.08947,11.526967
27560,"Other","Copper",-117.17411,41.25858,0.891057
27589,"Copper","Copper",-70.85549,-32.5802,0.129
27616,"Copper","Copper",-70.057,-23.43,1.456
27619,"Copper","Copper",55.86414,29.94747,8.9204
27620,"Copper","Copper",122.31389,-22.20167,1.567
27625,"Other","Copper",-6.24917,37.51917,0.11596
27633,"Copper","Copper",-74.23977,49.74183,0.311
27647,"Copper","Copper",-129.82472,58.25389,0.11
27649,"Copper","Copper",-110.84868,67.37655,0.345
27653,"Copper","Copper",-114.97192,39.25777,1.662873
27655,"Nickel","Copper",27.73351,-21.29955,0.132
27656,"Nickel","Copper",27.77139,-21.2125,0.1953
27672,"Nickel","Copper",-81.06667,46.49222,2.333333
27674,"Copper","Copper",-6.85706,37.77557,2.199
27678,"Copper","Copper",-68.83191,-21.91924,24.327954
27685,"Copper","Copper",25.39984,-10.70667,11.4
27706,"Copper","Copper",-131.45361,57.13556,6.1163
27710,"Copper","Copper",136.26864,-22.64654,0.51352
27725,"Other","Copper",-74.46643,51.01024,0.383244
27730,"Copper","Copper",123.34911,0.31454,2.533
27731,"Copper","Copper",141.73,-4.66,12.6037
27734,"Copper","Copper",137.20078,-31.20076,0.7057
