"Scenario","metric","Mineral","Cost","Water","lab_metric"
"APS","0%","Copper",2856.34573409669,5552.37403381471,"Optimal Cost"
"APS","0%","Nickel",6330.56803930435,687.6072332596,"Optimal Cost"
"APS","0%","Cobalt",9954.16973796052,566.495458272194,"Optimal Cost"
"APS","0%","Lithium",13880.604447238,26708.6654782553,"Optimal Cost"
"APS","0.5%","Copper",2869.74252549913,4793.30018203895,"0.5% Cost Increase"
"APS","0.5%","Nickel",6329.35183599427,678.665106823292,"0.5% Cost Increase"
"APS","0.5%","Cobalt",10282.3097336819,582.823850657171,"0.5% Cost Increase"
"APS","0.5%","Lithium",13998.0666559706,15703.1696496115,"0.5% Cost Increase"
"APS","1%","Copper",2884.38326486822,4528.62653771413,"1%"
"APS","1%","Nickel",6367.71845274813,677.93368260634,"1%"
"APS","1%","Cobalt",10153.114890859,568.278332438269,"1%"
"APS","1%","Lithium",14097.4997575505,14061.8746645111,"1%"
"APS","2%","Copper",2919.83221426536,4117.90618895047,"2%"
"APS","2%","Nickel",6366.87544413301,673.06557882138,"2%"
"APS","2%","Cobalt",10417.8641487307,585.611232811462,"2%"
"APS","2%","Lithium",14160.4595544572,13358.5881070123,"2%"
"APS","3%","Copper",2956.71096764147,3783.71299280422,"3%"
"APS","3%","Nickel",6365.56882653984,668.182279759687,"3%"
"APS","3%","Cobalt",10578.6194686933,591.270989879244,"3%"
"APS","3%","Lithium",14212.6125258566,12903.6481300943,"3%"
"APS","4%","Copper",2992.40671853611,3517.63949005239,"4%"
"APS","4%","Nickel",6364.92385506135,664.622996407836,"4%"
"APS","4%","Cobalt",10768.8134536721,596.668032265198,"4%"
"APS","4%","Lithium",14294.1544851932,12322.5081890278,"4%"
"APS","5%","Copper",3026.50433535365,3315.69319220351,"5%"
"APS","5%","Nickel",6369.77877870875,632.90273732095,"5%"
"APS","5%","Cobalt",10823.5901027382,598.621025559707,"5%"
"APS","5%","Lithium",14464.8364087902,11315.4230267154,"5%"
"APS","6%","Copper",3059.30027107732,3150.7896328793,"6%"
"APS","6%","Nickel",6374.08562329478,596.07764447848,"6%"
"APS","6%","Cobalt",10886.5655008979,600.004461785527,"6%"
"APS","6%","Lithium",14681.7515205863,10247.8725813138,"6%"
"APS","8%","Copper",3127.27933734416,2886.77435765361,"8%"
"APS","8%","Nickel",6418.96226820985,411.999050442699,"8%"
"APS","8%","Cobalt",10930.0875869267,601.405549154504,"8%"
