"Scenario","country","delta_water","delta_profit","delta_revenue","gdp_share","GDP","Region","share_gdp_bin"
"bold('5% Cost Increase')","Albania",-8.32667268468867e-17,-0.0100677772226487,-0.0100677772226487,0,27046429296.6673,"Europe","<0.1%"
"bold('5% Cost Increase')","Angola",0,0,0,0,100998916781.079,"Middle East & Africa","<0.1%"
"bold('5% Cost Increase')","Argentina",-21.5855640989969,19.5025386487922,19.5025386487922,0.00185244958238528,638365455340.04,"Latin America","0.1–1%"
"bold('5% Cost Increase')","Armenia",-122.112979769534,-14.8076250342742,-14.8076250342742,0.0260864745327443,25955275380.0321,"Europe","1–5%"
"bold('5% Cost Increase')","Australia",-49.0212752653256,-17.824386660603,-17.824386660603,0.00749551897472183,1757022451652.83,"Asia & Oceania","0.1–1%"
"bold('5% Cost Increase')","Austria",0.00663438049557515,0.117527515247314,0.117527515247314,0,534790720466.822,"Europe","<0.1%"
"bold('5% Cost Increase')","Azerbaijan",-0.915701609061264,-0.184719366668834,-0.184719366668834,0.00106047735480625,74315882352.9412,"Europe","0.1–1%"
"bold('5% Cost Increase')","Bolivia",0.00702440816443502,0.0485869424462776,0.0485869424462776,0,54881327452.9667,"Latin America","<0.1%"
"bold('5% Cost Increase')","Botswana",0.04046297170472,0.0129904944613237,0.0129904944613237,0.0660125434244523,19402063512.9066,"Middle East & Africa","5–10%"
"bold('5% Cost Increase')","Brazil",0.551379062349579,18.1669686858982,18.1669686858982,0.00289259774434687,2185821648943.86,"Latin America","0.1–1%"
"bold('5% Cost Increase')","Bulgaria",0,-0.0931440240475399,-0.0931440240475399,0.00125518428516237,113343355779.985,"Europe","0.1–1%"
"bold('5% Cost Increase')","Canada",2.70997185050834,43.2757779414758,43.2757779414758,0.00248591080926174,2243636826633.76,"North America","0.1–1%"
"bold('5% Cost Increase')","Chile",-1450.23487460335,-242.482192254219,-242.482192254219,0.177877324749902,330267137371.592,"Latin America","10–20%"
"bold('5% Cost Increase')","China",-11.0912815344654,54.9033516087038,54.9033516087038,0.000806223591324593,18743803170827.2,"Asia & Oceania","<0.1%"
"bold('5% Cost Increase')","Colombia",0.10041152726677,3.86780036110434,3.86780036110434,0.00134523865530147,418818154879.271,"Latin America","0.1–1%"
"bold('5% Cost Increase')","Côte d'Ivoire",0.00952545080210954,0.0520701503615761,0.0520701503615761,0,87113179149.284,"Middle East & Africa","<0.1%"
"bold('5% Cost Increase')","Cuba",-0.0174496120566439,-0.98695984130088,-0.98695984130088,0.00629074310313668,1.07352e+11,"Latin America","0.1–1%"
"bold('5% Cost Increase')","Czechia",0.659618650950423,1.39580352715752,1.39580352715752,0,347034062928.479,"Europe","<0.1%"
"bold('5% Cost Increase')","Dem. Rep. Congo",0.209858583641608,7.3521317799615,7.3521317799615,0.360681142750599,70962185790.7094,"Middle East & Africa",">20%"
"bold('5% Cost Increase')","Dominican Republic",0.0861608776553202,0.0212574033189785,0.0212574033189785,0.000640933561879245,124282245638.568,"Latin America","<0.1%"
"bold('5% Cost Increase')","Ecuador",0.669925562188326,15.3996626152739,15.3996626152739,0.00958363453860153,124676074700,"Latin America","0.1–1%"
"bold('5% Cost Increase')","Eritrea",0,-0.0964727586993561,-0.0964727586993561,0.213327317301843,2065001626.01626,"Middle East & Africa",">20%"
"bold('5% Cost Increase')","Ethiopia",0.190842772154573,0.126683981434011,0.126683981434011,0,149740297952.986,"Middle East & Africa","<0.1%"
