panel,cat,water_impact_B,cost_B
b,"Demand
>1,100 Mt",5902.155859264678,4681.647144925045
b,"Demand
>1,100 Mt",4763.503802906125,4728.463616374306
b,"Demand
>1,100 Mt",3560.908638570853,4915.7295021712835
b,"Demand
>1,100 Mt",2827.258923389188,5149.81185941754
b,"Demand
>1,100 Mt",1839.5250018007232,5852.058931156316
b,"Demand
<1,000 Mt",4299.983771765274,2736.23562820546
b,"Demand
<1,000 Mt",3377.911945225315,2763.5979844875283
b,"Demand
<1,000 Mt",2584.15243522297,2873.047409615742
b,"Demand
<1,000 Mt",2100.503496920008,3009.85919102602
b,"Demand
<1,000 Mt",1508.7227210598512,3420.294535256833
b,"Demand
<1,000 Mt",3073.663036983413,3028.5487981495517
b,"Demand
<1,000 Mt",2484.142371272797,3058.8342861310584
b,"Demand
<1,000 Mt",1868.1061637219557,3179.976238057041
b,"Demand
<1,000 Mt",1243.774583032028,3331.403677964509
b,"Demand
<1,000 Mt",681.4017741017656,3785.6859976869378
b,"Demand
>1,100 Mt",5629.286746267985,7358.488696884931
b,"Demand
>1,100 Mt",4490.09277973046,7432.073583853767
b,"Demand
>1,100 Mt",3411.7995882273885,7726.413131729168
b,"Demand
>1,100 Mt",2822.6213423452336,8094.337566573406
b,"Demand
>1,100 Mt",2226.067438918924,9198.110871106182
b,"Demand
>1,100 Mt",5481.770178485688,6598.244196313954
b,"Demand
>1,100 Mt",4876.114647738681,6664.226638277054
b,"Demand
>1,100 Mt",4635.468050767351,6928.1564061296185
b,"Demand
>1,100 Mt",4424.476988635446,7258.068615945329
b,"Demand
>1,100 Mt",3645.56128767473,8247.805245392407
b,"Demand
<1,000 Mt",5699.197716586398,2986.695634008331
b,"Demand
<1,000 Mt",4327.910325601477,3016.562590348419
b,"Demand
<1,000 Mt",3118.7300239287233,3136.030415708748
b,"Demand
<1,000 Mt",2453.505134404602,3285.365197409168
b,"Demand
<1,000 Mt",1649.6221426022178,3733.369542510422
b,"Demand
<1,000 Mt",5284.814716350292,4516.235499015169
b,"Demand
<1,000 Mt",5007.118472921736,4561.3978540053085
b,"Demand
<1,000 Mt",3999.0815892492687,4742.0472739658935
b,"Demand
<1,000 Mt",3401.649471920023,4967.859048916668
b,"Demand
<1,000 Mt",2389.6979999161317,5645.2943737689675
b,"Demand
>1,100 Mt",4456.053900850039,6773.735629349584
b,"Demand
>1,100 Mt",4043.163582628355,6841.472985643037
b,"Demand
>1,100 Mt",3711.208463803791,7112.42241081704
b,"Demand
>1,100 Mt",3603.042074291585,7451.109192284552
b,"Demand
>1,100 Mt",2975.4128382224776,8467.169536686986
b,"Demand
>1,100 Mt",6160.285708372653,3964.8374630991048
b,"Demand
>1,100 Mt",4950.355043228014,4004.48583773011
