"Scenario","Year","share_LFP","Ni_Co_ratio","Cobalt","Copper","Lithium","Nickel","ev_Cobalt","ev_Copper","ev_Lithium","ev_Nickel"
"APS",2025,0.554563312599437,5.43936164940279,239.344603417043,27750.9293562521,254.923207154301,1593.57148386517,82.3894166666667,712.074166666667,152.436666666667,448.145833333333
"APS",2026,0.555040965221003,5.85265617240902,257.963041115952,28752.5784240822,304.846414308603,1782.60755720498,98.2717333333333,927.459333333333,195.847333333333,575.150666666667
"APS",2027,0.555345288476469,6.15094690026329,276.581478814861,29754.2274919124,354.769621462904,1971.64363054478,114.15405,1142.8445,239.258,702.1555
"APS",2028,0.555556139218283,6.37637266087871,295.199916513771,30755.8765597425,404.692828617205,2160.67970388459,130.036366666667,1358.22966666667,282.668666666667,829.160333333333
"APS",2029,0.555710849197199,6.55272611309427,313.81835421268,31757.5256275727,454.616035771507,2349.71577722439,145.918683333333,1573.61483333333,326.079333333333,956.165166666667
"APS",2030,0.555829206022716,6.69445800705805,332.436791911589,32759.1746954028,504.539242925808,2538.7518505642,161.801,1789,369.49,1083.17
"APS",2031,0.557864292156822,7.5934795303533,338.143281300959,33122.0445979303,570.579052791886,2716.72697117086,164.7366,2034.806,428.6782,1250.924
"APS",2032,0.559405582919397,8.46102096829409,343.849770690328,33484.9145004578,636.618862657965,2894.70209177753,167.6722,2280.612,487.8664,1418.678
"APS",2033,0.560613355872549,9.2987073275665,349.556260079697,33847.7844029852,702.658672524043,3072.6772123842,170.6078,2526.418,547.0546,1586.432
"APS",2034,0.561585296228248,10.1080536626573,355.262749469067,34210.6543055127,768.698482390122,3250.65233299086,173.5434,2772.224,606.2428,1754.186
"APS",2035,0.562384333908354,10.8904742207288,360.969238858436,34573.5242080402,834.7382922562,3428.62745359753,176.479,3018.03,665.431,1921.94
"APS",2036,0.578674897277607,11.4240361894098,363.585303830535,34995.837977913,907.867312710447,3565.02287224702,177.9084,3209.714,730.8946,2032.432
"APS",2037,0.592287171092789,11.949092717765,366.201368802635,35418.1517477859,980.996333164694,3701.4182908965,179.3378,3401.398,796.3582,2142.924
"APS",2038,0.603831480398075,12.4658455737545,368.817433774734,35840.4655176587,1054.12535361894,3837.81370954599,180.7672,3593.082,861.8218,2253.416
"APS",2039,0.613745801683194,12.9744901935601,371.433498746833,36262.7792875316,1127.25437407319,3974.20912819547,182.1966,3784.766,927.2854,2363.908
"APS",2040,0.622352587704353,13.4752159280276,374.049563718932,36685.0930574044,1200.38339452744,4110.60454684496,183.626,3976.45,992.749,2474.4
"APS",2041,0.625943383845217,13.3006932953522,383.677984853582,36957.0721073737,1241.23435179424,4194.76590318512,190.972,4055.48,1028.8752,2540.06
"APS",2042,0.62929057125553,13.1390998295667,393.306405988232,37229.051157343,1282.08530906105,4278.92725952528,198.318,4134.51,1065.0014,2605.72
"APS",2043,0.632418127150254,12.9890501011358,402.934827122882,37501.0302073123,1322.93626632786,4363.08861586544,205.664,4213.54,1101.1276,2671.38
"APS",2044,0.635346982086997,12.8493497957842,412.563248257532,37773.0092572816,1363.78722359467,4447.2499722056,213.01,4292.57,1137.2538,2737.04
"APS",2045,0.638095488970738,12.7189638584835,422.191669392182,38044.9883072509,1404.63818086147,4531.41132854576,220.356,4371.6,1173.38,2802.7
"APS",2046,0.640772636482473,12.6224923166383,428.333103498927,38373.3510985117,1431.6792254498,4623.59940135897,224.2508,4445.946,1193.894,2830.604
"APS",2047,0.643359338272415,12.5293146131242,434.474537605672,38701.7138897725,1458.72027003812,4715.78747417218,228.1456,4520.292,1214.408,2858.508
"APS",2048,0.645860101678364,12.4392648866318,440.615971712417,39030.0766810333,1485.76131462645,4807.97554698539,232.0404,4594.638,1234.922,2886.412
"APS",2049,0.648279139435997,12.3521882279541,446.757405819163,39358.4394722941,1512.80235921477,4900.1636197986,235.9352,4668.984,1255.436,2914.316
"APS",2050,0.650620393361096,12.2679397906851,452.898839925908,39686.802263555,1539.84340380309,4992.35169261181,239.83,4743.33,1275.95,2942.22
"NZE",2025,0.564485400823153,5.56511016561096,251.907337291382,28046.0479809634,287.746023820968,1720.34847180649,94.8155833333333,858.040833333333,183.572166666667,527.659166666667
"NZE",2026,0.569038787510935,5.96290679157771,283.088508864631,29342.8156735049,370.492047641936,2036.16153308761,123.124066666667,1219.39266666667,258.118333333333,734.177333333333
"NZE",2027,0.571551454356803,6.21197688343754,314.26968043788,30639.5833660463,453.238071462904,2351.97459436874,151.43255,1580.7445,332.6645,940.6955
"NZE",2028,0.573144156688956,6.38259191789076,345.450852011129,31936.3510585878,535.984095283872,2667.78765564986,179.741033333333,1942.09633333333,407.210666666667,1147.21366666667
"NZE",2029,0.574243955359809,6.50677711259603,376.632023584378,33233.1187511292,618.73011910484,2983.60071693099,208.049516666667,2303.44816666667,481.756833333333,1353.73183333333
"NZE",2030,0.575049001800251,6.60121510589868,407.813195157627,34529.8864436707,701.476142925808,3299.41377821211,236.358,2664.8,556.303,1560.25
"NZE",2031,0.577157670089617,7.47491685669673,416.876200406937,35322.9592757646,804.300772791886,3569.18630296426,242.5932,3049.602,649.7744,1813.364
